Region,Group Name,Wiki_Link,Status
International,"

14.1
Historical

",https://en.wikipedia.org#Historical_2,Active
International,"

15
See also

",https://en.wikipedia.org#See_also,Active
International,"

16
References

",https://en.wikipedia.org#References,Active
International,Français,https://en.wikipedia.orghttps://fr.wikipedia.org/wiki/Liste_d%27organisations_criminelles,Active
International,Suomi,https://en.wikipedia.orghttps://fi.wikipedia.org/wiki/Luettelo_rikollisj%C3%A4rjest%C3%B6ist%C3%A4,Active
International,Article,"https://en.wikipedia.org/wiki/List_of_criminal_enterprises,_gangs,_and_syndicates",Active
International,Read,"https://en.wikipedia.org/wiki/List_of_criminal_enterprises,_gangs,_and_syndicates",Active
International,Edit,"https://en.wikipedia.org/w/index.php?title=List_of_criminal_enterprises,_gangs,_and_syndicates&action=edit",Active
International,View history,"https://en.wikipedia.org/w/index.php?title=List_of_criminal_enterprises,_gangs,_and_syndicates&action=history",Active
International,Permanent link,"https://en.wikipedia.org/w/index.php?title=List_of_criminal_enterprises,_gangs,_and_syndicates&oldid=1327667271",Active
International,Page information,"https://en.wikipedia.org/w/index.php?title=List_of_criminal_enterprises,_gangs,_and_syndicates&action=info",Active
International,Printable version,"https://en.wikipedia.org/w/index.php?title=List_of_criminal_enterprises,_gangs,_and_syndicates&printable=yes",Active
International,Dominican,https://en.wikipedia.org/wiki/Dominican_Republic,Active
International,Paulino organization,https://en.wikipedia.org/wiki/Quirino_Paulino,Active
International,Féliz organization,https://en.wikipedia.org/wiki/Rolando_Flori%C3%A1n_F%C3%A9liz,Active
International,Bolivian drug cartels,https://en.wikipedia.org/wiki/Narcotics_in_Bolivia,Active
International,La Corporación,https://en.wikipedia.org/wiki/La_Corporaci%C3%B3n,Active
International,Santa Cruz Cartel,https://en.wikipedia.org/wiki/Santa_Cruz_Cartel,Active
International,Nicaraguan,https://en.wikipedia.org/wiki/Nicaragua,Active
International,Blandón net,https://en.wikipedia.org/wiki/Oscar_Danilo_Bland%C3%B3n,Active
International,Peruvian drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Peru,Active
International,Zevallos organisation,https://en.wikipedia.org/wiki/Fernando_Zevallos,Active
International,Guatemalan drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Guatemala,Active
International,Kaibiles,https://en.wikipedia.org/wiki/Kaibiles,Active
International,Honduran drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Honduras,Active
International,Matta organization,https://en.wikipedia.org/wiki/Juan_Matta-Ballesteros,Active
International,Cachiros,https://en.wikipedia.org/wiki/Cachiros,Active
International,First Capital Command,https://en.wikipedia.org/wiki/First_Capital_Command,Active
International,Red Command,https://en.wikipedia.org/wiki/Red_Command,Active
International,Terceiro Comando Puro,https://en.wikipedia.org/wiki/Terceiro_Comando_Puro,Active
International,Amigos dos Amigos,https://en.wikipedia.org/wiki/Amigos_dos_Amigos,Active
International,Cartel of the Suns,https://en.wikipedia.org/wiki/Cartel_of_the_Suns,Active
International,Tren de Aragua,https://en.wikipedia.org/wiki/Tren_de_Aragua,Active
International,Tren del Llano,https://en.wikipedia.org/wiki/Tren_del_Llano,Active
International,Bandas criminales,https://en.wikipedia.org/wiki/Paramilitarism_in_Colombia#Post-AUC_successor_criminal_groups,Active
International,Clan del Golfo,https://en.wikipedia.org/wiki/Clan_del_Golfo,Active
International,The Office of Envigado,https://en.wikipedia.org/wiki/The_Office_of_Envigado,Active
International,La Guajira Cartel,https://en.wikipedia.org/wiki/La_Guajira_Cartel,Active
International,National Liberation Army (Colombia),https://en.wikipedia.org/wiki/National_Liberation_Army_(Colombia),Active
International,FARC dissidents,https://en.wikipedia.org/wiki/FARC_dissidents,Active
International,Black Eagles,https://en.wikipedia.org/wiki/Black_Eagles,Active
International,New Generation,https://en.wikipedia.org/wiki/Black_Eagles#Groups,Active
International,Bloque Meta,https://en.wikipedia.org/wiki/Bloque_Meta,Active
International,Bogotá Cartel,https://en.wikipedia.org/w/index.php?title=Bogot%C3%A1_Cartel&action=edit&redlink=1,Active
International,Cali Cartel,https://en.wikipedia.org/wiki/Cali_Cartel,Active
International,Medellín Cartel,https://en.wikipedia.org/wiki/Medell%C3%ADn_Cartel,Active
International,Miami branch,https://en.wikipedia.org/wiki/Griselda_Blanco,Active
International,Norte del Valle Cartel,https://en.wikipedia.org/wiki/Norte_del_Valle_Cartel,Active
International,North Coast Cartel,https://en.wikipedia.org/wiki/North_Coast_Cartel,Active
International,Leticia Cartel,"https://en.wikipedia.org/wiki/Leticia,_Amazonas#1970s",Active
International,Libertadores del Vichada,https://en.wikipedia.org/wiki/Libertadores_del_Vichada,Active
International,Los Machos,https://en.wikipedia.org/wiki/Norte_del_Valle_Cartel#Los_Machos_(Diego_Montoya_Organization),Active
International,Los Nevados,https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Mej%C3%ADa_M%C3%BAnera,Active
International,Los Rastrojos,https://en.wikipedia.org/wiki/Los_Rastrojos,Active
International,Los Caparrapos,https://en.wikipedia.org/w/index.php?title=Los_Caparrapos&action=edit&redlink=1,Active
International,Colombian Popular Revolutionary Anti-communist Army,https://en.wikipedia.org/wiki/Pedro_Oliverio_Guerrero,Active
International,Los Choneros,https://en.wikipedia.org/wiki/Los_Choneros,Active
International,Los Lobos,https://en.wikipedia.org/wiki/Los_Lobos,Active
International,Los Tiguerones,https://en.wikipedia.org/wiki/Los_Tiguerones,Active
International,Gulf Cartel,https://en.wikipedia.org/wiki/Gulf_Cartel,Active
International,Los Metros,https://en.wikipedia.org/wiki/Los_Metros,Active
International,Los Rojos,https://en.wikipedia.org/wiki/Los_Rojos,Active
International,Jalisco New Generation Cartel,https://en.wikipedia.org/wiki/Jalisco_New_Generation_Cartel,Active
International,La Linea,https://en.wikipedia.org/wiki/La_L%C3%ADnea_(gang),Active
International,Sinaloa Cartel,https://en.wikipedia.org/wiki/Sinaloa_Cartel,Active
International,Los Ántrax,https://en.wikipedia.org/wiki/Los_%C3%81ntrax,Active
International,Gente Nueva,https://en.wikipedia.org/wiki/Gente_Nueva,Active
International,Artistas Asesinos,https://en.wikipedia.org/wiki/Artistas_Asesinos,Active
International,Colima Cartel,https://en.wikipedia.org/wiki/Colima_Cartel,Active
International,Milenio Cartel,https://en.wikipedia.org/wiki/Milenio_Cartel,Active
International,Tijuana Cartel,https://en.wikipedia.org/wiki/Tijuana_Cartel,Active
International,Oaxaca Cartel,https://en.wikipedia.org/wiki/Oaxaca_Cartel,Active
International,Los Zetas,https://en.wikipedia.org/wiki/Los_Zetas,Active
International,Guatemala branch,https://en.wikipedia.org/wiki/Horst_Overdick,Active
International,Beltrán-Leyva Cartel,https://en.wikipedia.org/wiki/Beltr%C3%A1n-Leyva_Cartel,Active
International,Guerreros Unidos,https://en.wikipedia.org/wiki/Guerreros_Unidos,Active
International,Los Mazatlecos,https://en.wikipedia.org/wiki/Los_Mazatlecos,Active
International,La Barredora,https://en.wikipedia.org/wiki/La_Barredora,Active
International,Independent Cartel of Acapulco,https://en.wikipedia.org/wiki/Independent_Cartel_of_Acapulco,Active
International,Los Negros,https://en.wikipedia.org/wiki/Los_Negros,Active
International,Los Pelones,https://en.wikipedia.org/wiki/Los_Pelones,Active
International,South Pacific Cartel,https://en.wikipedia.org/wiki/South_Pacific_Cartel,Active
International,La Familia Michoacana,https://en.wikipedia.org/wiki/La_Familia_Michoacana,Active
International,La Resistencia,https://en.wikipedia.org/wiki/La_Resistencia_(gang),Active
International,Guadalajara Cartel,https://en.wikipedia.org/wiki/Guadalajara_Cartel,Active
International,Sonora Cartel,https://en.wikipedia.org/wiki/Sonora_Cartel,Active
International,Knights Templar Cartel,https://en.wikipedia.org/wiki/Knights_Templar_Cartel,Active
International,Los Narcosatánicos,https://en.wikipedia.org/wiki/Adolfo_Constanzo,Active
International,Golden Triangle,https://en.wikipedia.org/wiki/Golden_Triangle_(Southeast_Asia),Active
International,Burmese drug cartels,https://en.wikipedia.org/wiki/Opium_production_in_Burma,Active
International,Khun Sa cartel,https://en.wikipedia.org/wiki/Khun_Sa,Active
International,Red Wa Cartel,https://en.wikipedia.org/wiki/Wei_Hsueh-kang,Active
International,Hawngleuk Militia,https://en.wikipedia.org/wiki/Naw_Kham,Active
International,Han cartel,https://en.wikipedia.org/wiki/Lo_Hsing_Han,Active
International,Laotian drug cartels,https://en.wikipedia.org/wiki/Agriculture_in_Laos#Opium,Active
International,Golden Crescent,https://en.wikipedia.org/wiki/Golden_Crescent,Active
International,Afridi Network,https://en.wikipedia.org/wiki/Ayub_Afridi_(drug_lord),Active
International,Afghan drug cartels,https://en.wikipedia.org/wiki/Opium_production_in_Afghanistan,Active
International,Noorzai Organization,https://en.wikipedia.org/wiki/Haji_Bashar,Active
International,Khan organization,https://en.wikipedia.org/wiki/Juma_Khan,Active
International,Karzai organization,https://en.wikipedia.org/wiki/Ahmed_Wali_Karzai,Active
International,Bagcho organization,https://en.wikipedia.org/wiki/Haji_Bagcho,Active
International,Haqqani Network,https://en.wikipedia.org/wiki/Jalaluddin_Haqqani,Active
International,Rivard organization,https://en.wikipedia.org/wiki/Lucien_Rivard,Active
