Group Name,Wiki_Link,Est. Revenue,Membership,Founded,Criminal Activities
Rizzuto crime family,https://en.wikipedia.org/wiki/Rizzuto_crime_family,Unknown,Unknown,c. 1970s,"Racketeering, drug trafficking, illegal gambling, loan sharking, extortion, weapons trafficking, mur..."
Cuntrera-Caruana Mafia clan,https://en.wikipedia.org/wiki/Cuntrera-Caruana_Mafia_clan,Unknown,Unknown,1950s,Drug trafficking and money laundering...
Cotroni crime family,https://en.wikipedia.org/wiki/Cotroni_crime_family,Unknown,Unknown,c. 1940s,"Racketeering, drug trafficking, murder, illegal gambling, corruption, extortion, theft, loan sharkin..."
Luppino crime family,https://en.wikipedia.org/wiki/Luppino_crime_family,Unknown,Unknown,1956,"Racketeering, loan sharking, money laundering, fraud, murder, gambling, drug trafficking, extortion ..."
Musitano crime family,https://en.wikipedia.org/wiki/Musitano_crime_family,Unknown,Unknown,Angelo Musitano,"Racketeering, loan sharking, money laundering, fraud, prostitution, murder, gambling, drug trafficki..."
Papalia crime family,https://en.wikipedia.org/wiki/Papalia_crime_family,Unknown,Unknown,1940s,"Racketeering, loan sharking, money laundering, gambling, drug trafficking, extortion, fraud and pros..."
National Crime Syndicate,https://en.wikipedia.org/wiki/National_Crime_Syndicate,Unknown,Unknown,Late 1920s–1930s (as a term in media and law enforcement),"Bootlegging, gambling, labor racketeering, extortion, bribery, fraud..."
Downtown Gang,https://en.wikipedia.org/wiki/Downtown_Gang,Unknown,Around 20 to 30 members,Johnny Jack Nounes,"bootlegging, illegal gambling, prostitution, hijacking, conspiracy, assault, robbery, bribery, contr..."
Beach Gang,https://en.wikipedia.org/wiki/Ollie_Quinn,Unknown,Unknown,Unknown,Unknown
Shelton Brothers Gang,https://en.wikipedia.org/wiki/Shelton_Brothers_Gang,Unknown,50+,"Carl Shelton, Earl Shelton, Bernie ""Red"" Shelton","bootlegging, gambling, mail robbery, murder..."
Sheldon Gang,https://en.wikipedia.org/wiki/Sheldon_Gang,Unknown,Unknown,Unknown,Unknown
Circus Cafe Gang,https://en.wikipedia.org/wiki/Claude_Maddox,Unknown,Unknown,Unknown,Unknown
Wandering Family,https://en.wikipedia.org/wiki/Wandering_Family,Unknown,Unknown,1908; 117 years ago (1908),"Bootlegging, extortion, kidnapping, gambling, drug trafficking, prostitution, protection racketeerin..."
Saltis-McErlane Gang,https://en.wikipedia.org/wiki/Saltis-McErlane_Gang,Unknown,Unknown,Unknown,Unknown
Kielbasa Posse,https://en.wikipedia.org/wiki/Kielbasa_Posse,Unknown,Unknown,Polish American immigrants,"Drug trafficking, weapon trafficking, Racketeering, loansharking, extortion, kidnapping, gambling, m..."
The Flathead gang,https://en.wikipedia.org/wiki/The_Flathead_gang,Unknown,Unknown,Unknown,Unknown
Dixie Mafia,https://en.wikipedia.org/wiki/Dixie_Mafia,Unknown,Unknown,Late 1960s,"Illegal gambling, drug trafficking, prostitution, robbery, murder, arson, extortion, fraud, bootlegg..."
Cornbread Mafia,https://en.wikipedia.org/wiki/Cornbread_Mafia,Unknown,Unknown,Unknown,Unknown
Wall gang,https://en.wikipedia.org/wiki/Charlie_Wall,Unknown,Unknown,Unknown,Unknown
Velentzas Family,https://en.wikipedia.org/wiki/Velentzas_Family,Unknown,30,"Peter ""Pete the Greek"" Kourakos ","Racketeering, loansharking, extortion, and gambling..."
Puerto Rican mafia,https://en.wikipedia.org/wiki/Illegal_drugs_in_Puerto_Rico,Unknown,Unknown,Unknown,Unknown
Chaldean mafia,https://en.wikipedia.org/wiki/Chaldean_mafia,Unknown,Unknown,Early 1980s,"Racketeering, murder, arson, weapons trafficking, narcotics trafficking, money laundering, fraud, th..."
Nash gang,https://en.wikipedia.org/wiki/Eddie_Nash,Unknown,Unknown,Unknown,Unknown
Wonderland Gang,https://en.wikipedia.org/wiki/Wonderland_Gang,Unknown,7,Unknown,Cocaine tradeBurglary and armed robbery...
American Mafia,https://en.wikipedia.org/wiki/American_Mafia,Unknown,"Over 3,000 members and associates",1860s; 164 years ago (1860s),"Racketeering, gambling, loansharking, extortion, labor union corruption, business infiltration, poli..."
Magaddino crime family,https://en.wikipedia.org/wiki/Magaddino_crime_family,Unknown,30 made members (2018),c. 1910; 115 years ago (1910),"Racketeering, gambling, bookmaking, loansharking, extortion, labor racketeering, drug trafficking, b..."
DeCavalcante crime family,https://en.wikipedia.org/wiki/DeCavalcante_crime_family,Unknown,50 made members and 80 associates (1990),c. 1900s,"Racketeering, gambling, bookmaking, loansharking, extortion, labor racketeering, drug trafficking, b..."
Philadelphia crime family,https://en.wikipedia.org/wiki/Philadelphia_crime_family,Unknown,55 made members and 250 associates (1990),c. 1911; 114 years ago (1911),"Racketeering, gambling, bookmaking, sports betting, loansharking, extortion, labor racketeering and ..."
Pittsburgh crime family,https://en.wikipedia.org/wiki/Pittsburgh_crime_family,Unknown,Unknown,c. 1888; 137 years ago (1888),"Racketeering, gambling, loansharking, extortion, labor racketeering, drug trafficking, money launder..."
Patriarca crime family,https://en.wikipedia.org/wiki/Patriarca_crime_family,Unknown,30 made members (2012),c. 1916; 109 years ago (1916),"Racketeering, gambling, bookmaking, loansharking, extortion, labor racketeering, waste management, n..."
Cleveland crime family,https://en.wikipedia.org/wiki/Cleveland_crime_family,Unknown,60 made members (1950s),c. 1920; 105 years ago (1920),"Racketeering, murder, car bombing, drug trafficking, skimming, labor racketeering, extortion, illega..."
