Location,Article_Count,Latitude,Longitude,Source_URL
"Manaus, Amazonas, Brazil",1,-3.1133,-60.0253,#
Argentina,1,-34.0,-64.0,#
"Batemans Bay, New South Wales, Australia",1,-35.7066,150.175,#
"Melbourne, Victoria, Australia",1,-37.8167,144.967,#
"Ciasem, Banten, Indonesia",1,-6.0363,105.989,#
"Cipeundeuy, Banten, Indonesia",1,-6.0524,105.985,#
"Pabuaran, Banten, Indonesia",1,-6.301,106.134,#
"Sidorejo, Jawa Tengah, Indonesia",1,-6.7115,110.873,#
"Dawuan, Jawa Tengah, Indonesia",1,-6.8434,109.019,#
"Cibogo, Jawa Tengah, Indonesia",1,-7.0622,108.875,#
"Pagaden, Jawa Barat, Indonesia",1,-7.3834,108.216,#
"Jalancagak, Jawa Barat, Indonesia",1,-7.4734,107.887,#
"Keprabon, Jawa Tengah, Indonesia",1,-7.6064,110.679,#
"Aruana, Amazonas, Brazil",1,-7.6167,-60.3167,#
"Pernambuco, Estado De Pernambuco, Brazil",1,-8.05,-34.9,#
Kenya,1,1.0,38.0,#
"El Palito, Aragua, Venezuela",1,10.156,-67.1694,#
"Puerto Cabello, Carabobo, Venezuela",1,10.4731,-68.0125,#
Guinea,1,11.0,-10.0,#
"Kano, Kano, Nigeria",1,11.9964,8.5167,#
"Bangkok, Krung Thep Mahanakhon, Thailand",1,13.75,100.517,#
"La Mesa, Paraiso, Honduras",1,13.8,-86.8667,#
Honduras,1,15.0,-86.5,#
"Panaji, Goa, India",1,15.4833,73.8333,#
"Menan, Nakhon Sawan, Thailand",1,15.7006,100.143,#
Mauritius,1,16.0,146.0,#
"Purok, Isabela, Philippines",1,16.9665,121.725,#
"Michoacan, Tabasco, Mexico",1,17.9167,-93.8833,#
"Mumbai, Maharashtra, India",1,18.975,72.8258,#
"Zitacuaro, MichoacáDe Ocampo, Mexico",1,19.4,-100.367,#
"Sukasari, Aceh, Indonesia",1,2.5955,99.6994,#
"Guanacaste, Nayarit, Mexico",1,21.6167,-105.067,#
"Chaumuhani, Bangladesh (General), Bangladesh",1,22.9333,91.1167,#
"Manikganj, Dhaka, Bangladesh",1,23.8553,90.0125,#
"Kharar, Uttar Pradesh, India",1,24.3667,82.95,#
"Mirpur, Bangladesh (General), Bangladesh",1,24.6833,90.2,#
Libya,1,25.0,17.0,#
"Doha, Ad Daw?Ah, Qatar",1,25.2867,51.5333,#
Qatar,1,25.5,51.25,#
"Manipur, Uttar Pradesh, India",1,27.0529,79.3583,#
"Bahraich, Uttar Pradesh, India",1,27.5833,81.6,#
"Mahawa, India (General), India",1,27.9833,78.8167,#
"Palm Bay, Florida, United States",1,28.0345,-80.5887,#
"Antara, Aceh, Indonesia",1,3.5292,99.0184,#
Jordan,1,31.0,36.0,#
"Tarn Taran, Punjab, India",1,31.45,74.9253,#
Israel,1,31.5,34.75,#
"Daoke, Punjab, Pakistan",1,31.8156,74.2481,#
"Orange County, California, United States",1,33.7,-117.768,#
"Wichita Falls, Texas, United States",1,33.9137,-98.4934,#
"Wichita County, Texas, United States",1,33.9668,-98.717,#
"West Hollywood, California, United States",1,34.09,-118.362,#
"North Carolina, United States",1,35.6411,-79.8431,#
"Muhafazat As Sulaymaniyah, As Sulaymaniyah, Iraq",1,35.6667,45.5,#
Japan,1,36.0,138.0,#
"Henry County, Virginia, United States",1,36.6668,-79.8831,#
"Gaziantep, Gaziantep, Turkey",1,37.0594,37.3825,#
"Seoul, Soul-T'ukpyolsi, South Korea",1,37.5664,127.0,#
"Virginia, United States",1,37.768,-78.2057,#
Greece,1,39.0,22.0,#
"Middletown, Indiana, United States",1,39.46,-85.6489,#
Portugal,1,39.5,-8.0,#
"Calarca, QuindíCo, Colombia",1,4.5295,-75.6409,#
"Bogota, Cundinamarca, Colombia",1,4.6,-74.0833,#
Armenia,1,40.0,45.0,#
"Nuoro, Sardegna, Italy",1,40.3167,9.35,#
Albania,1,41.0,20.0,#
"Nebraska, United States",1,41.1289,-98.2883,#
"Fushe Kruje, Qarku I Durresit, Albania",1,41.4783,19.7178,#
"Connecticut, United States",1,41.5834,-72.7622,#
"Rome, Lazio, Italy",1,41.9,12.4833,#
"Massachusetts, United States",1,42.2373,-71.5314,#
"Brooklyn, New York, United States",1,42.3442,-75.1704,#
Bulgaria,1,43.0,25.0,#
"Black Sea, Oceans (General), Oceans",1,43.0,35.0,#
"Bagneres, Midi-PyréEs, France",1,43.0667,0.15,#
"Bigorre, Midi-PyréEs, France",1,43.1,0.0833,#
"Teton County, Wyoming, United States",1,43.9166,-110.584,#
"Annapolis, Nova Scotia, Canada",1,44.7333,-65.5167,#
"Piedmont, Piemonte, Italy",1,45.0,8.0,#
Croatia,1,45.1667,15.5,#
"Riberac, Aquitaine, France",1,45.25,0.3333,#
"Lewisville, Washington, United States",1,45.8098,-122.523,#
Mongolia,1,46.0,105.0,#
France,1,46.0,2.0,#
Romania,1,46.0,25.0,#
Slovenia,1,46.25,15.1667,#
"Montana, United States",1,46.9048,-110.326,#
Austria,1,47.3333,13.3333,#
"Mccone County, Montana, United States",1,47.6667,-105.834,#
"Nograd County, NóD, Hungary",1,48.0,19.5833,#
"Bali, Poltavs'ka Oblast', Ukraine",1,49.3833,34.4167,#
"Dordogne, Nord-Pas-De-Calais, France",1,50.4969,1.7082,#
"New Milton, Hampshire, United Kingdom",1,50.7333,-1.65,#
"London, London, City Of, United Kingdom",1,51.5,-0.1167,#
"Saskatoon, Saskatchewan, Canada",1,52.1333,-106.667,#
"Wexford, Wexford, Ireland",1,52.3342,-6.4575,#
"Wetaskiwin, Alberta, Canada",1,52.9667,-113.383,#
Belarus,1,53.0,28.0,#
"Camrose, Alberta, Canada",1,53.0167,-112.817,#
"Shankill, County Dun Laoghaire-Rathdown, Ireland",1,53.2261,-6.1244,#
"Dublin, Dublin, Ireland",1,53.3331,-6.2489,#
"Lagos, Lagos, Nigeria",1,6.4531,3.3958,#
"Hjortland, Hordaland, Norway",1,60.45,5.3667,#
"Tertnes, Hordaland, Norway",1,60.4556,5.2922,#
Sri Lanka,1,7.0,81.0,#
"Quindio, Santander, Colombia",1,7.2324,-73.5759,#
"Abuja, Abuja Federal Capital Territory, Nigeria",1,9.0833,7.5333,#
"Negros Oriental, Negros Oriental, Philippines",1,9.75,123.0,#
