Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2000-05-11,95.9000015258789,21.6,0.0,20.0
2000-05-12,91.80000305175781,20.2,0.0,17.8
2000-05-15,91.25,23.7,0.0,15.1
2000-05-16,92.25,25.0,0.0,15.1
2000-05-17,91.80000305175781,25.1,0.0,15.1
2000-05-18,91.5,21.3,0.0,15.1
2000-05-19,97.94999694824219,20.4,0.0,15.1
2000-05-22,103.30000305175781,19.7,0.0,15.0
2000-05-23,103.69999694824219,21.1,0.0,15.0
2000-05-24,101.8499984741211,21.9,0.0,14.9
2000-05-25,99.25,21.6,0.0,14.299999999999999
2000-05-26,99.19999694824219,23.4,0.0,12.2
2000-05-30,100.4000015258789,23.0,0.0,11.5
2000-05-31,93.0,23.3,0.6,12.100000000000001
2000-06-01,94.44999694824219,22.1,5.2,17.2
2000-06-02,95.55000305175781,21.8,0.0,7.0
2000-06-05,93.3499984741211,20.1,0.0,6.6
2000-06-06,89.1500015258789,21.1,0.0,6.6
2000-06-07,92.05000305175781,21.5,0.0,6.6
2000-06-08,92.55000305175781,22.3,0.0,6.6
2000-06-09,91.8499984741211,22.9,0.0,6.6
2000-06-12,91.1500015258789,23.1,0.0,6.6
2000-06-13,90.80000305175781,23.6,0.0,6.4
2000-06-14,89.8499984741211,24.0,0.0,6.4
2000-06-15,88.1500015258789,22.6,0.0,5.9
2000-06-16,87.25,22.4,0.0,5.9
2000-06-19,87.19999694824219,23.6,0.0,5.9
2000-06-20,87.25,23.8,0.0,5.8
2000-06-21,84.44999694824219,19.3,2.0,7.8
2000-06-22,86.1500015258789,20.0,0.0,7.8
2000-06-23,87.05000305175781,21.6,0.0,7.8
2000-06-26,87.1500015258789,24.5,0.0,7.8
2000-06-27,88.5,24.1,0.0,7.8
2000-06-28,87.6500015258789,23.8,0.0,7.8
2000-06-29,86.4000015258789,23.7,0.0,7.8
2000-06-30,84.8499984741211,24.7,0.0,7.8
2000-07-05,85.4000015258789,20.6,0.0,7.8
2000-07-06,82.8499984741211,21.0,0.0,7.8
2000-07-07,80.80000305175781,22.3,0.0,7.8
2000-07-10,84.0,23.4,0.0,7.8
2000-07-11,90.0999984741211,24.5,0.0,7.8
2000-07-12,89.69999694824219,23.1,0.0,7.8
2000-07-13,99.19999694824219,19.5,0.3,8.1
2000-07-14,89.1500015258789,19.4,0.0,7.5
2000-07-17,98.6500015258789,14.7,0.0,2.3
2000-07-18,116.5,18.5,0.0,2.3
2000-07-19,111.1500015258789,20.7,0.0,2.3
2000-07-20,97.75,19.0,0.0,2.3
2000-07-21,96.6500015258789,23.1,0.0,2.3
2000-07-24,86.30000305175781,18.9,0.0,2.3
2000-07-25,85.19999694824219,19.4,0.0,2.3
2000-07-26,86.94999694824219,21.8,0.0,2.3
